Filename;UnifiedQualityScore;BackgroundUniformity;IlluminationUniformity;LuminanceMean;LuminanceVariance;UnderExposurePrevention;OverExposurePrevention;DynamicRange;Sharpness;CompressionArtifacts;NaturalColour;SingleFacePresent;EyesOpen;MouthClosed;EyesVisible;MouthOcclusionPrevention;FaceOcclusionPrevention;InterEyeDistance;HeadSize;LeftwardCropOfTheFaceImage;RightwardCropOfTheFaceImage;MarginAboveOfTheFaceImage;MarginBelowOfTheFaceImage;HeadPoseYaw;HeadPosePitch;HeadPoseRoll;ExpressionNeutrality;NoHeadCoverings;UnifiedQualityScore.scalar;BackgroundUniformity.scalar;IlluminationUniformity.scalar;LuminanceMean.scalar;LuminanceVariance.scalar;UnderExposurePrevention.scalar;OverExposurePrevention.scalar;DynamicRange.scalar;Sharpness.scalar;CompressionArtifacts.scalar;NaturalColour.scalar;SingleFacePresent.scalar;EyesOpen.scalar;MouthClosed.scalar;EyesVisible.scalar;MouthOcclusionPrevention.scalar;FaceOcclusionPrevention.scalar;InterEyeDistance.scalar;HeadSize.scalar;LeftwardCropOfTheFaceImage.scalar;RightwardCropOfTheFaceImage.scalar;MarginAboveOfTheFaceImage.scalar;MarginBelowOfTheFaceImage.scalar;HeadPoseYaw.scalar;HeadPosePitch.scalar;HeadPoseRoll.scalar;ExpressionNeutrality.scalar;NoHeadCoverings.scalar;assessment_time_in_ms;
../../src/data/ONOT/S115379105/S115379105-GF-A98-EEA-T14-S1-LH-C1-I0019-F00.png;24.694574;30.576659;0.209796;0.351990;0.037411;0.072875;0;7.476407;26;0.994238;0;0;0.094592;0.007805;0;0;0.026380;77.044311;0.250231;3.881808;3.764964;1.350533;2.646419;1.250219;4.268966;1.291068;12946.602539;0;66;85;63;95;82;100;100;93;96;100;100;100;100;96;100;100;97;59;4;100;100;38;100;100;99;100;97;100;794
../../src/data/ONOT/S115379105/S115379105-GF-A98-EEA-T14-S1-LH-C1-I0005-F00.png;27.582806;26.069389;0.088980;0.473496;0.042209;0.027129;0;7.543368;50;0.990317;0;0;0.081010;0;0;0;0.003313;90.056650;0.292018;3.442532;3.242643;1.409269;2.026663;-0.697027;4.581598;0.016818;15256.562500;0;85;87;48;99;78;100;100;94;100;100;100;100;100;97;100;100;100;73;8;100;100;52;91;100;99;100;98;100;596
../../src/data/ONOT/S115379105/S115379105-GF-A98-EEA-T14-S1-LH-C1-I0043-F00.png;25.664064;31.310287;0.022377;0.425357;0.050598;0.035824;0;7.540373;43;0.991236;0;0;0.088216;0.007490;0;0;0.029158;84.006281;0.260749;3.594983;3.499752;1.300715;2.548800;-0.160310;2.753486;-1.354136;12390.300781;0;74;85;32;99;70;100;100;94;99;100;100;100;100;96;100;100;97;67;4;100;100;27;100;100;100;100;97;100;550
../../src/data/ONOT/S115379105/S115379105-GF-A98-EEA-T14-S1-LH-C1-I0038-F00.png;26.245668;25.106617;0.056327;0.387922;0.057796;0.082652;0;7.665561;41;0.993295;0;0;0.081425;0;0;0;0.045857;101.212397;0.322267;2.990099;3.079208;1.145455;1.957576;-3.712537;-1.309185;-0.342931;12099.307617;0;78;88;42;98;65;100;100;96;99;100;100;100;100;97;100;100;95;83;14;100;100;7;83;100;100;100;97;100;615
../../src/data/ONOT/S115379105/S115379105-GF-A98-EEA-T14-S1-LH-C1-I0022-F00.png;24.825676;23.147718;0.096886;0.399669;0.032792;0.053494;0;7.404202;45;0.984929;0;0;0.079582;0;0;0;0.008014;66.000003;0.222691;4.318182;4.439394;1.289275;3.201262;-0.018035;2.917626;0.034783;14668.870117;0;67;89;50;98;87;100;100;93;100;100;100;100;100;97;100;100;99;45;2;100;100;25;100;100;100;100;98;100;620
../../src/data/ONOT/S115379105/S115379105-GF-A98-EEA-T14-S1-LH-C1-I0030-F00.png;26.221226;25.730682;0.060957;0.396901;0.052038;0.063378;0;7.592719;49;0.992276;0;0;0.086220;0;0;0;0.027902;89.249722;0.284181;3.415515;3.336868;1.344796;2.186155;-4.238583;1.190083;0.017095;16129.794922;0;78;88;43;98;69;100;100;95;100;100;100;100;100;97;100;100;97;72;7;100;100;37;98;99;100;100;99;100;622
../../src/data/ONOT/S115379105/S115379105-GF-A98-EEA-T14-S1-LH-C1-I0027-F00.png;26.825811;17.516458;0.248163;0.431905;0.040728;0.040559;0;7.560346;43;0.986527;0;0;0.077315;0.006451;0;0;0.013723;94.021061;0.302741;3.287234;3.159574;1.309650;1.993507;-1.212753;0.169376;0.380056;13088.237305;0;81;91;66;99;79;100;100;95;99;100;100;100;100;96;100;100;99;77;10;100;100;29;87;100;100;100;97;100;629
../../src/data/ONOT/S115379105/S115379105-GF-A98-EEA-T14-S1-LH-C1-I0026-F00.png;24.972778;26.250802;0.006944;0.398501;0.048955;0.069995;0;7.556282;39;0.991669;0;0;0.094322;0;0;0;0.076091;106.062785;0.325201;2.895067;2.932788;1.240941;1.843340;-1.122137;5.655098;0.260688;13226.384766;0;68;87;23;98;72;100;100;94;99;100;100;100;100;97;100;100;92;86;15;100;100;17;61;100;99;100;97;100;517
../../src/data/ONOT/S115379105/S115379105-GF-A98-EEA-T14-S1-LH-C1-I0054-F00.png;25.945904;24.416622;0.091821;0.429741;0.046910;0.062906;0;7.657486;45;0.986387;0;0;0.089705;0.005970;0;0;0.009874;108.024419;0.327172;2.907283;2.833212;1.179556;1.886092;1.096734;3.112753;-0.355249;10799.497070;0;76;88;49;99;73;100;100;96;100;100;100;100;100;96;100;100;99;87;16;100;100;10;70;100;100;100;96;100;545
../../src/data/ONOT/S115379105/S115379105-GF-A98-EEA-T14-S1-LH-C1-I0062-F00.png;21.362080;29.054647;0.030093;0.366042;0.052096;0.071313;0;7.498804;44;0.993738;0;0;0.096242;0.009719;0;0;0.010085;89.909779;0.284195;3.202045;3.550338;1.282637;2.248062;-8.132456;4.085561;1.229107;13456.207031;0;35;86;35;96;69;100;100;94;99;100;100;100;100;96;100;100;99;73;7;100;100;24;99;98;99;100;98;100;650
